Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "util" line 1, position 13
Separator "." line 1, position 17
Identifier "Scanner" line 1, position 18
Separator ";" line 1, position 25
Modifier "public" line 3, position 1
Keyword "class" line 3, position 8
Identifier "Main" line 3, position 14
Separator "{" line 3, position 19
Modifier "public" line 4, position 2
Modifier "static" line 4, position 9
Keyword "void" line 4, position 16
Identifier "main" line 4, position 21
Separator "(" line 4, position 25
Identifier "String" line 4, position 26
Separator "[" line 4, position 32
Separator "]" line 4, position 33
Identifier "args" line 4, position 35
Separator ")" line 4, position 39
Separator "{" line 4, position 41
Identifier "Scanner" line 5, position 3
Identifier "sc" line 5, position 11
Operator "=" line 5, position 14
Keyword "new" line 5, position 16
Identifier "Scanner" line 5, position 20
Separator "(" line 5, position 27
Identifier "System" line 5, position 28
Separator "." line 5, position 34
Identifier "in" line 5, position 35
Separator ")" line 5, position 37
Separator ";" line 5, position 38
Modifier "final" line 6, position 9
BasicType "double" line 6, position 15
Identifier "PI" line 6, position 22
Operator "=" line 6, position 25
DecimalFloatingPoint "3.14159275" line 6, position 27
Separator ";" line 6, position 37
BasicType "int" line 7, position 7
Identifier "r" line 7, position 11
Operator "=" line 7, position 13
Identifier "sc" line 7, position 15
Separator "." line 7, position 17
Identifier "nextInt" line 7, position 18
Separator "(" line 7, position 25
Separator ")" line 7, position 26
Separator ";" line 7, position 27
BasicType "double" line 9, position 7
Identifier "A" line 9, position 14
Operator "=" line 9, position 16
Identifier "PI" line 9, position 18
Operator "*" line 9, position 20
Identifier "Math" line 9, position 21
Separator "." line 9, position 25
Identifier "pow" line 9, position 26
Separator "(" line 9, position 29
Identifier "r" line 9, position 30
Separator "," line 9, position 31
DecimalInteger "2" line 9, position 33
Separator ")" line 9, position 34
Separator ";" line 9, position 35
BasicType "double" line 10, position 3
Identifier "P" line 10, position 10
Operator "=" line 10, position 12
DecimalInteger "2" line 10, position 14
Operator "*" line 10, position 15
Identifier "PI" line 10, position 16
Operator "*" line 10, position 18
Identifier "r" line 10, position 19
Separator ";" line 10, position 20
Identifier "System" line 12, position 3
Separator "." line 12, position 9
Identifier "out" line 12, position 10
Separator "." line 12, position 13
Identifier "printf" line 12, position 14
Separator "(" line 12, position 20
String ""%5.6f %5.6f"" line 12, position 21
Separator "," line 12, position 34
Identifier "A" line 12, position 35
Separator "," line 12, position 36
Identifier "P" line 12, position 37
Separator ")" line 12, position 38
Separator ";" line 12, position 39
Identifier "sc" line 14, position 2
Separator "." line 14, position 4
Identifier "close" line 14, position 5
Separator "(" line 14, position 10
Separator ")" line 14, position 11
Separator ";" line 14, position 12
Separator "}" line 15, position 2
Separator "}" line 18, position 1
