Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "util" line 1, position 13
Separator "." line 1, position 17
Identifier "Scanner" line 1, position 18
Separator ";" line 1, position 25
Modifier "public" line 3, position 1
Keyword "class" line 3, position 8
Identifier "Main" line 3, position 14
Separator "{" line 3, position 19
Modifier "public" line 4, position 2
Modifier "static" line 4, position 9
Keyword "void" line 4, position 16
Identifier "main" line 4, position 21
Separator "(" line 4, position 25
Identifier "String" line 4, position 26
Separator "[" line 4, position 32
Separator "]" line 4, position 33
Identifier "args" line 4, position 35
Separator ")" line 4, position 39
Separator "{" line 4, position 41
Identifier "Scanner" line 5, position 3
Identifier "scan" line 5, position 11
Operator "=" line 5, position 15
Keyword "new" line 5, position 16
Identifier "Scanner" line 5, position 20
Separator "(" line 5, position 27
Identifier "System" line 5, position 28
Separator "." line 5, position 34
Identifier "in" line 5, position 35
Separator ")" line 5, position 37
Separator ";" line 5, position 38
BasicType "int" line 6, position 4
Identifier "a" line 6, position 8
Operator "=" line 6, position 9
Identifier "scan" line 6, position 10
Separator "." line 6, position 14
Identifier "nextInt" line 6, position 15
Separator "(" line 6, position 22
Separator ")" line 6, position 23
Separator ";" line 6, position 24
BasicType "double" line 7, position 4
Identifier "x" line 7, position 11
Separator "," line 7, position 12
Identifier "y" line 7, position 13
Separator ";" line 7, position 14
Identifier "x" line 8, position 4
Operator "=" line 8, position 5
Identifier "a" line 8, position 6
Operator "*" line 8, position 7
Identifier "a" line 8, position 8
Operator "*" line 8, position 9
DecimalFloatingPoint "3.141592653589" line 8, position 10
Separator ";" line 8, position 24
Identifier "y" line 9, position 4
Operator "=" line 9, position 5
Separator "(" line 9, position 6
Identifier "a" line 9, position 7
Operator "+" line 9, position 8
Identifier "a" line 9, position 9
Separator ")" line 9, position 10
Operator "*" line 9, position 11
DecimalFloatingPoint "3.141592653589" line 9, position 12
Separator ";" line 9, position 26
Identifier "System" line 10, position 4
Separator "." line 10, position 10
Identifier "out" line 10, position 11
Separator "." line 10, position 14
Identifier "println" line 10, position 15
Separator "(" line 10, position 22
Identifier "String" line 10, position 23
Separator "." line 10, position 29
Identifier "format" line 10, position 30
Separator "(" line 10, position 36
String ""%.6f %.6f"" line 10, position 37
Separator "," line 10, position 48
Identifier "x" line 10, position 49
Separator "," line 10, position 50
Identifier "y" line 10, position 51
Separator ")" line 10, position 52
Separator ")" line 10, position 53
Separator ";" line 10, position 54
Identifier "scan" line 11, position 3
Separator "." line 11, position 7
Identifier "close" line 11, position 8
Separator "(" line 11, position 13
Separator ")" line 11, position 14
Separator ";" line 11, position 15
Separator "}" line 12, position 1
Separator "}" line 13, position 1
