Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "io" line 1, position 13
Separator "." line 1, position 15
Identifier "OutputStream" line 1, position 16
Separator ";" line 1, position 28
Keyword "import" line 2, position 1
Identifier "java" line 2, position 8
Separator "." line 2, position 12
Identifier "io" line 2, position 13
Separator "." line 2, position 15
Identifier "IOException" line 2, position 16
Separator ";" line 2, position 27
Keyword "import" line 3, position 1
Identifier "java" line 3, position 8
Separator "." line 3, position 12
Identifier "io" line 3, position 13
Separator "." line 3, position 15
Identifier "InputStream" line 3, position 16
Separator ";" line 3, position 27
Keyword "import" line 4, position 1
Identifier "java" line 4, position 8
Separator "." line 4, position 12
Identifier "io" line 4, position 13
Separator "." line 4, position 15
Identifier "PrintWriter" line 4, position 16
Separator ";" line 4, position 27
Keyword "import" line 5, position 1
Identifier "java" line 5, position 8
Separator "." line 5, position 12
Identifier "util" line 5, position 13
Separator "." line 5, position 17
Identifier "StringTokenizer" line 5, position 18
Separator ";" line 5, position 33
Keyword "import" line 6, position 1
Identifier "java" line 6, position 8
Separator "." line 6, position 12
Identifier "io" line 6, position 13
Separator "." line 6, position 15
Identifier "IOException" line 6, position 16
Separator ";" line 6, position 27
Keyword "import" line 7, position 1
Identifier "java" line 7, position 8
Separator "." line 7, position 12
Identifier "io" line 7, position 13
Separator "." line 7, position 15
Identifier "BufferedReader" line 7, position 16
Separator ";" line 7, position 30
Keyword "import" line 8, position 1
Identifier "java" line 8, position 8
Separator "." line 8, position 12
Identifier "io" line 8, position 13
Separator "." line 8, position 15
Identifier "InputStreamReader" line 8, position 16
Separator ";" line 8, position 33
Keyword "import" line 9, position 1
Identifier "java" line 9, position 8
Separator "." line 9, position 12
Identifier "io" line 9, position 13
Separator "." line 9, position 15
Identifier "InputStream" line 9, position 16
Separator ";" line 9, position 27
Modifier "public" line 17, position 1
Keyword "class" line 17, position 8
Identifier "Main" line 17, position 14
Separator "{" line 17, position 19
Modifier "public" line 18, position 5
Modifier "static" line 18, position 12
Keyword "void" line 18, position 19
