Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "util" line 1, position 13
Separator "." line 1, position 17
Identifier "Scanner" line 1, position 18
Separator ";" line 1, position 25
Keyword "class" line 2, position 2
Identifier "Main" line 2, position 8
Separator "{" line 2, position 12
Modifier "public" line 4, position 3
Modifier "static" line 4, position 10
Keyword "void" line 4, position 17
Identifier "main" line 4, position 22
Separator "(" line 4, position 26
Identifier "String" line 4, position 27
Separator "[" line 4, position 33
Separator "]" line 4, position 34
Identifier "args" line 4, position 36
Separator ")" line 4, position 40
Separator "{" line 4, position 41
Identifier "Scanner" line 5, position 2
Identifier "sc" line 5, position 10
Operator "=" line 5, position 12
Keyword "new" line 5, position 13
Identifier "Scanner" line 5, position 17
Separator "(" line 5, position 24
Identifier "System" line 5, position 25
Separator "." line 5, position 31
Identifier "in" line 5, position 32
Separator ")" line 5, position 34
Separator ";" line 5, position 35
BasicType "int" line 7, position 2
Identifier "k" line 7, position 6
Separator ";" line 7, position 7
Identifier "k" line 8, position 2
Operator "=" line 8, position 3
Identifier "sc" line 8, position 4
Separator "." line 8, position 6
Identifier "nextInt" line 8, position 7
Separator "(" line 8, position 14
Separator ")" line 8, position 15
Separator ";" line 8, position 16
BasicType "int" line 9, position 2
Identifier "d" line 9, position 6
Separator "[" line 9, position 7
Separator "]" line 9, position 8
Operator "=" line 9, position 9
Keyword "new" line 9, position 10
BasicType "int" line 9, position 14
Separator "[" line 9, position 17
Identifier "k" line 9, position 18
Separator "]" line 9, position 19
Separator ";" line 9, position 20
Keyword "for" line 10, position 2
Separator "(" line 10, position 5
BasicType "int" line 10, position 6
Identifier "i" line 10, position 10
Operator "=" line 10, position 11
DecimalInteger "0" line 10, position 12
Separator ";" line 10, position 13
Identifier "i" line 10, position 14
Operator "<" line 10, position 15
Identifier "k" line 10, position 16
Separator ";" line 10, position 17
Identifier "i" line 10, position 18
Operator "++" line 10, position 19
Separator ")" line 10, position 21
Separator "{" line 10, position 22
Identifier "d" line 11, position 3
Separator "[" line 11, position 4
Identifier "i" line 11, position 5
Separator "]" line 11, position 6
Operator "=" line 11, position 7
Identifier "sc" line 11, position 8
Separator "." line 11, position 10
Identifier "nextInt" line 11, position 11
Separator "(" line 11, position 18
Separator ")" line 11, position 19
Separator ";" line 11, position 20
Separator "}" line 12, position 2
Keyword "for" line 13, position 2
Separator "(" line 13, position 5
BasicType "int" line 13, position 6
Identifier "i" line 13, position 10
Operator "=" line 13, position 11
Identifier "k" line 13, position 12
Separator ";" line 13, position 13
DecimalInteger "0" line 13, position 14
Operator "<" line 13, position 15
Identifier "i" line 13, position 16
Separator ";" line 13, position 17
Identifier "i" line 13, position 18
Operator "--" line 13, position 19
Separator ")" line 13, position 21
Separator "{" line 13, position 22
Identifier "System" line 14, position 3
Separator "." line 14, position 9
Identifier "out" line 14, position 10
Separator "." line 14, position 13
Identifier "println" line 14, position 14
Separator "(" line 14, position 21
Identifier "d" line 14, position 22
Separator "[" line 14, position 23
Identifier "i" line 14, position 24
Separator "]" line 14, position 25
Separator ")" line 14, position 26
Separator ";" line 14, position 27
Separator "}" line 15, position 2
Separator "}" line 18, position 2
Separator "}" line 19, position 2
