Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "util" line 1, position 13
Separator "." line 1, position 17
Identifier "Scanner" line 1, position 18
Separator ";" line 1, position 25
Keyword "class" line 3, position 6
Identifier "Main" line 3, position 12
Separator "{" line 3, position 16
Modifier "public" line 4, position 9
Modifier "static" line 4, position 16
Keyword "void" line 4, position 23
Identifier "main" line 4, position 28
Separator "(" line 4, position 32
Identifier "String" line 4, position 33
Identifier "args" line 4, position 40
Separator "[" line 4, position 44
Separator "]" line 4, position 45
Separator ")" line 4, position 46
Separator "{" line 4, position 47
Identifier "Scanner" line 5, position 12
Identifier "scan" line 5, position 20
Operator "=" line 5, position 25
Keyword "new" line 5, position 27
Identifier "Scanner" line 5, position 31
Separator "(" line 5, position 38
Identifier "System" line 5, position 39
Separator "." line 5, position 45
Identifier "in" line 5, position 46
Separator ")" line 5, position 48
Separator ";" line 5, position 49
BasicType "int" line 7, position 13
Identifier "n" line 7, position 17
Operator "=" line 7, position 19
Identifier "scan" line 7, position 21
Separator "." line 7, position 25
Identifier "nextInt" line 7, position 26
Separator "(" line 7, position 33
Separator ")" line 7, position 34
Separator ";" line 7, position 35
BasicType "int" line 9, position 13
Separator "[" line 9, position 16
Separator "]" line 9, position 17
Identifier "a" line 9, position 19
Operator "=" line 9, position 21
Keyword "new" line 9, position 23
BasicType "int" line 9, position 27
Separator "[" line 9, position 30
Identifier "n" line 9, position 31
Separator "]" line 9, position 32
Separator ";" line 9, position 33
Keyword "for" line 11, position 15
Separator "(" line 11, position 18
BasicType "int" line 11, position 19
Identifier "i" line 11, position 23
Operator "=" line 11, position 24
DecimalInteger "0" line 11, position 25
Separator ";" line 11, position 26
Identifier "i" line 11, position 27
Operator "<" line 11, position 28
Identifier "n" line 11, position 29
Separator ";" line 11, position 30
Identifier "i" line 11, position 31
Operator "++" line 11, position 32
Separator ")" line 11, position 34
Separator "{" line 11, position 35
Identifier "a" line 13, position 18
Separator "[" line 13, position 19
Identifier "i" line 13, position 20
Separator "]" line 13, position 21
Operator "=" line 13, position 23
Identifier "scan" line 13, position 24
Separator "." line 13, position 28
Identifier "nextInt" line 13, position 29
Separator "(" line 13, position 36
Separator ")" line 13, position 37
Separator ";" line 13, position 38
Separator "}" line 15, position 15
Keyword "for" line 17, position 15
Separator "(" line 17, position 18
BasicType "int" line 17, position 19
Identifier "i" line 17, position 23
Operator "=" line 17, position 25
Identifier "n" line 17, position 26
Operator "-" line 17, position 27
DecimalInteger "1" line 17, position 28
Separator ";" line 17, position 29
Identifier "i" line 17, position 30
Operator ">=" line 17, position 31
DecimalInteger "0" line 17, position 33
Separator ";" line 17, position 34
Identifier "i" line 17, position 35
Operator "--" line 17, position 36
Separator ")" line 17, position 38
Separator "{" line 17, position 39
Identifier "System" line 19, position 15
Separator "." line 19, position 21
Identifier "out" line 19, position 22
Separator "." line 19, position 25
Identifier "print" line 19, position 26
Separator "(" line 19, position 31
Identifier "a" line 19, position 32
Separator "[" line 19, position 33
Identifier "i" line 19, position 34
Separator "]" line 19, position 35
Separator ")" line 19, position 36
Separator ";" line 19, position 37
Keyword "if" line 21, position 18
Separator "(" line 21, position 20
Identifier "i" line 21, position 21
Operator "!=" line 21, position 22
DecimalInteger "0" line 21, position 24
Separator ")" line 21, position 25
Separator "{" line 21, position 26
Identifier "System" line 22, position 21
Separator "." line 22, position 27
Identifier "out" line 22, position 28
Separator "." line 22, position 31
Identifier "print" line 22, position 32
Separator "(" line 22, position 37
String "" "" line 22, position 38
Separator ")" line 22, position 41
Separator ";" line 22, position 42
Separator "}" line 23, position 18
Separator "}" line 24, position 15
Identifier "eSystem" line 25, position 15
Separator "." line 25, position 22
Identifier "out" line 25, position 23
Separator "." line 25, position 26
Identifier "println" line 25, position 27
Separator "(" line 25, position 34
Separator ")" line 25, position 35
Separator ";" line 25, position 36
Separator "}" line 26, position 9
Separator "}" line 27, position 6
