Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "io" line 1, position 13
Separator "." line 1, position 15
Identifier "IOException" line 1, position 16
Separator ";" line 1, position 27
Keyword "import" line 2, position 1
Identifier "java" line 2, position 8
Separator "." line 2, position 12
Identifier "io" line 2, position 13
Separator "." line 2, position 15
Identifier "InputStream" line 2, position 16
Separator ";" line 2, position 27
Keyword "import" line 3, position 1
Identifier "java" line 3, position 8
Separator "." line 3, position 12
Identifier "io" line 3, position 13
Separator "." line 3, position 15
Identifier "PrintWriter" line 3, position 16
Separator ";" line 3, position 27
Keyword "import" line 4, position 1
Identifier "java" line 4, position 8
Separator "." line 4, position 12
Identifier "util" line 4, position 13
Separator "." line 4, position 17
Operator "*" line 4, position 18
Separator ";" line 4, position 19
Modifier "public" line 7, position 1
Keyword "class" line 7, position 8
Identifier "Main" line 7, position 14
Separator "{" line 7, position 19
BasicType "int" line 8, position 5
Identifier "N" line 8, position 9
Separator ";" line 8, position 10
BasicType "int" line 9, position 5
Separator "[" line 9, position 8
Separator "]" line 9, position 9
Identifier "A" line 9, position 11
Separator ";" line 9, position 12
Modifier "private" line 10, position 5
Keyword "void" line 10, position 13
Identifier "solve" line 10, position 18
Separator "(" line 10, position 23
Separator ")" line 10, position 24
Separator "{" line 10, position 26
Identifier "N" line 11, position 9
Operator "=" line 11, position 11
Identifier "nextInt" line 11, position 13
Separator "(" line 11, position 20
Separator ")" line 11, position 21
Separator ";" line 11, position 22
Identifier "A" line 12, position 9
Operator "=" line 12, position 11
Keyword "new" line 12, position 13
BasicType "int" line 12, position 17
Separator "[" line 12, position 20
Identifier "N" line 12, position 21
Separator "]" line 12, position 22
Separator ";" line 12, position 23
BasicType "int" line 13, position 9
Identifier "max" line 13, position 13
Operator "=" line 13, position 17
DecimalInteger "0" line 13, position 19
Separator ";" line 13, position 20
Keyword "for" line 14, position 9
Separator "(" line 14, position 12
BasicType "int" line 14, position 13
Identifier "i" line 14, position 17
Operator "=" line 14, position 19
DecimalInteger "0" line 14, position 21
